measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - INPUT,333189,2022-01-07 11:54:35,15533,Shaq Fu Trial 06/30/21,7861,NN1,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,1246,g,,,,,,,
WO - INPUT,332965,2022-01-07 10:46:06,15528,Black Wine Trials 06/30/21,7866,NN6,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,858,g,,,,,,,
WO - INPUT,332963,2022-01-07 10:45:50,15529,Black Hammer Trials 06/30/21,7865,NN5,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,936,g,,,,,,,
WO - INPUT,332961,2022-01-07 10:45:31,15530,Black Do-Lato Trials 06/30/21,7864,NN4,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,1522,g,,,,,,,
WO - INPUT,332951,2022-01-07 10:43:08,15534,Space Cake Trials 07/06/21,7869,Space Cake,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,1640,g,,,,,,,
WO - INPUT,333323,2022-01-07 12:35:22,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1356,202 - Post-harvest processing,27840,Milling event January 7,1158,Milling,2022-01-07 12:35:04,2022-01-07 16:17:28,819,Dried Cannabis,7588,g,,,,,,,
WO - INPUT,383113,2022-01-11 14:58:24,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,,,28208,Pura Labs Sample Shipment 2022-01-11,704,Sample Shipment,2022-01-11 8:46:33,2022-01-11 15:00:11,819,Dried Cannabis,30,g,,,,,,,
WO - INPUT,347906,2022-01-11 21:15:07,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1357,203 - Secure storage,28331,Mixed Phenotype retention sample 2022-01-11,776,Internal Retention Sample,2022-01-11 15:16:58,2022-01-20 9:15:19,819,Dried Cannabis,200,g,,,,,,,
WO - INPUT,343769,2022-01-17 10:06:19,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1357,203 - Secure storage,29124,Blue Lime PI (Zkittkez Glue) Smalls sale,557,Sale of Cannabis,2022-01-17 10:02:27,2022-01-17 10:06:31,819,Dried Cannabis,13136,g,,,,,,,
WO - INPUT,297659,2021-12-10 13:29:07,16037,Mango Merengue 08/26/21,7907,Mango Merengue,1357,203 - Secure storage,24787,200g Internal Retention Sample of Mango Merengue,776,Internal Retention Sample,2021-12-08 14:17:56,2022-01-20 9:17:51,819,Dried Cannabis,200,g,,,,,,,
WO - INPUT,406279,2022-03-02 14:25:41,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1357,203 - Secure storage,35282,Sitka Lilac Diesel Sale 2022-03-03,557,Sale of Cannabis,2022-03-02 14:24:22,2022-03-03 14:28:26,819,Dried Cannabis,7320,g,,,,,,,
WO - INPUT,473425,2022-04-26 9:53:07,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,1357,203 - Secure storage,42189,Sale To WestBay Organics,557,Sale of Cannabis,2022-04-26 9:41:54,2022-04-26 9:53:28,819,Dried Cannabis,63359,g,,,,,,,
WO - INPUT,473350,2022-04-26 9:42:08,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,1357,203 - Secure storage,42189,Sale To WestBay Organics,557,Sale of Cannabis,2022-04-26 9:41:54,2022-04-26 9:53:28,2412,Trim,8778,g,,,,,,,
WO - INPUT,463844,2022-04-04 12:11:41,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,,,41194,Space Cake 1 - 2021/11/25 Drying #1,446,Drying,2022-04-04 12:11:17,2022-04-15 12:13:08,762,Fresh Cannabis,332250,g,,,,,,,
WO - OUTPUT,281352,2021-11-25 12:55:36,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,23555,Change Location for  Space Cake Trials 07/06/21,1051,Change Location,2021-11-25 12:55:36,2021-11-25 12:55:36,819,Dried Cannabis,2632,g,,,,,,,
WO - OUTPUT,62620,2021-03-17 12:49:07,7246,Blue Lime Pi 2,4493,Blue Lime PI,1355,201 - Cultivation,4236,010820 BLP Harvest #1,430,Harvest,2021-03-17 12:47:49,2021-03-17 12:49:25,762,Fresh Cannabis,302000,g,,,,,,,
WO - OUTPUT,68830,2021-04-07 9:51:53,7246,Blue Lime Pi 2,4493,Blue Lime PI,1356,202 - Post-harvest processing,4672,010820 BLP Drying #1,446,Drying,2021-03-18 14:00:08,2021-04-13 9:53:02,819,Dried Cannabis,55700,g,,,,,,,
WO - OUTPUT,130921,2021-07-15 9:36:39,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,9494,BLP5 - 03/09/21  Drying #1,446,Drying,2021-06-28 9:34:55,2021-07-15 9:39:40,819,Dried Cannabis,130662,g,,,,,,,
WO - OUTPUT,119725,2021-06-30 9:25:03,9697,BLP5 - 03/09/21,4494,Blue Lime Pi,,,7892,BLP5 - 03/09/21  Harvest #1,430,Harvest,2021-06-28 9:23:23,2021-07-02 9:28:21,762,Fresh Cannabis,642300,g,,,,,,,
