performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-09-08 22:44:38,2021-09-08 22:44:41,Reductions - Growth Stage,15529,Black Hammer Trials 06/30/21,7865,NN5,569,Vegetative,14977,Advance Growth Stage for Black Hammer Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:44:38.000Z,2021-09-08T22:44:38.000Z,-9
2021-09-08 22:44:38,2021-09-08 22:44:38,Additions - Growth Stage,15529,Black Hammer Trials 06/30/21,7865,NN5,662,Flowering,14977,Advance Growth Stage for Black Hammer Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:44:38.000Z,2021-09-08T22:44:38.000Z,9
2021-09-08 22:45:14,2021-09-08 22:45:15,Reductions - Growth Stage,15530,Black Do-Lato Trials 06/30/21,7864,NN4,569,Vegetative,14978,Advance Growth Stage for Black Do-Lato Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:45:14.000Z,2021-09-08T22:45:14.000Z,-17
2021-09-08 22:45:14,2021-09-08 22:45:14,Additions - Growth Stage,15530,Black Do-Lato Trials 06/30/21,7864,NN4,662,Flowering,14978,Advance Growth Stage for Black Do-Lato Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:45:14.000Z,2021-09-08T22:45:14.000Z,17
2021-09-08 22:46:09,2021-09-08 22:46:12,Reductions - Growth Stage,15531,Soul Magic Trials 06/30/21,7863,NN3,569,Vegetative,14979,Advance Growth Stage for Soul Magic Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:46:09.000Z,2021-09-08T22:46:09.000Z,-5
2021-09-08 22:46:09,2021-09-08 22:46:09,Additions - Growth Stage,15531,Soul Magic Trials 06/30/21,7863,NN3,662,Flowering,14979,Advance Growth Stage for Soul Magic Trials 06/30/21,852,Advance Growth Stage,2021-09-08T22:46:09.000Z,2021-09-08T22:46:09.000Z,5
2021-09-08 22:46:40,2021-09-08 22:46:42,Reductions - Growth Stage,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,569,Vegetative,14980,Advance Growth Stage for Sour Apple Truffle Trial 06/30/21,852,Advance Growth Stage,2021-09-08T22:46:40.000Z,2021-09-08T22:46:40.000Z,-9
2021-09-08 22:46:40,2021-09-08 22:46:40,Additions - Growth Stage,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,662,Flowering,14980,Advance Growth Stage for Sour Apple Truffle Trial 06/30/21,852,Advance Growth Stage,2021-09-08T22:46:40.000Z,2021-09-08T22:46:40.000Z,9
2021-09-08 22:47:03,2021-09-08 22:47:04,Reductions - Growth Stage,15533,Shaq Fu Trial 06/30/21,7861,NN1,569,Vegetative,14981,Advance Growth Stage for Shaq Fu Trial 06/30/21,852,Advance Growth Stage,2021-09-08T22:47:03.000Z,2021-09-08T22:47:03.000Z,-10
2021-09-08 22:47:03,2021-09-08 22:47:03,Additions - Growth Stage,15533,Shaq Fu Trial 06/30/21,7861,NN1,662,Flowering,14981,Advance Growth Stage for Shaq Fu Trial 06/30/21,852,Advance Growth Stage,2021-09-08T22:47:03.000Z,2021-09-08T22:47:03.000Z,10
2021-09-08 22:47:29,2021-09-08 22:47:30,Reductions - Growth Stage,15534,Space Cake Trials 07/06/21,7869,Space Cake,569,Vegetative,14982,Advance Growth Stage for Space Cake Trials 07/06/21,852,Advance Growth Stage,2021-09-08T22:47:29.000Z,2021-09-08T22:47:29.000Z,-20
2021-09-08 22:47:29,2021-09-08 22:47:29,Additions - Growth Stage,15534,Space Cake Trials 07/06/21,7869,Space Cake,662,Flowering,14982,Advance Growth Stage for Space Cake Trials 07/06/21,852,Advance Growth Stage,2021-09-08T22:47:29.000Z,2021-09-08T22:47:29.000Z,20
2021-09-21 22:15:07,2021-09-21 22:15:11,Reductions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,569,Vegetative,16014,Advance Growth Stage for Mango Merengue 08/26/21,852,Advance Growth Stage,2021-09-21T22:15:07.000Z,2021-09-21T22:15:07.000Z,-504
2021-09-21 22:15:07,2021-09-21 22:15:07,Additions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,662,Flowering,16014,Advance Growth Stage for Mango Merengue 08/26/21,852,Advance Growth Stage,2021-09-21T22:15:07.000Z,2021-09-21T22:15:07.000Z,504
2021-11-05 17:06:01,2021-11-05 17:06:02,Reductions - Growth Stage,15533,Shaq Fu Trial 06/30/21,7861,NN1,662,Flowering,20962,Shaq Fu Trial 06/30/21 Harvest #1,430,Harvest,2021-11-05T17:05:37.688Z,2021-11-09T17:47:27.893Z,-10
2021-11-05 17:06:01,2021-11-05 17:06:02,Additions - Growth Stage,15533,Shaq Fu Trial 06/30/21,7861,NN1,570,Harvested,,,,,,,10
2021-11-10 16:00:48,2021-11-11 20:48:01,Reductions - Growth Stage,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,662,Flowering,21572,Blue Lime Pi 9 07/20/21 Harvest #1,430,Harvest,2021-11-10T16:00:15.000Z,2021-11-11T20:50:54.539Z,-342
2021-11-10 16:00:48,2021-11-11 20:48:02,Additions - Growth Stage,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,570,Harvested,,,,,,,342
2021-11-10 18:51:29,2021-11-11 20:51:32,Reductions - Growth Stage,15534,Space Cake Trials 07/06/21,7869,Space Cake,662,Flowering,21573, Space Cake Trials 07/06/21 Harvest #1,430,Harvest,2021-11-10T18:51:15.000Z,2021-11-11T20:52:01.051Z,-20
2021-11-10 18:51:29,2021-11-11 20:51:32,Additions - Growth Stage,15534,Space Cake Trials 07/06/21,7869,Space Cake,570,Harvested,,,,,,,20
2021-11-10 20:52:29,2021-11-11 20:52:31,Reductions - Growth Stage,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,662,Flowering,21574,Sour Apple Truffle Trial 06/30/21 Harvest #1,430,Harvest,2021-11-10T20:52:16.000Z,2021-11-11T20:52:54.749Z,-9
2021-11-10 20:52:29,2021-11-11 20:52:31,Additions - Growth Stage,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,570,Harvested,,,,,,,9
